Request Index,Request Time (Seconds)
0,2
1,7
2,9
3,9
4,10
5,11
6,13
7,14
8,14
9,14
10,17
11,24
12,30
13,31
14,32
15,36
16,37
17,38
18,38
19,40
20,40
21,41
22,42
23,43
24,44
25,46
26,53
27,53
28,53
29,56
30,62
31,62
32,63
33,64
34,65
35,65
36,65
37,65
38,68
39,69
40,69
41,69
42,70
43,70
44,70
45,71
46,72
47,72
48,72
49,73
50,73
51,73
52,75
53,76
54,77
55,77
56,77
57,77
58,79
59,79
60,80
61,80
62,82
63,83
64,83
65,83
66,85
67,86
68,86
69,86
70,86
71,87
72,88
73,90
74,90
75,92
76,93
77,94
78,94
79,95
80,95
81,95
82,96
83,97
84,97
85,97
86,99
87,99
88,100
89,100
90,100
91,100
92,102
93,102
94,103
95,103
96,105
97,106
98,107
99,107
100,108
101,110
102,114
103,115
104,115
105,117
106,117
107,118
108,118
109,118
110,121
111,121
112,121
113,123
114,124
115,129
116,132
117,132
118,133
119,136
120,136
121,137
122,137
123,138
124,143
125,144
126,145
127,145
128,145
129,146
130,149
131,151
132,154
133,155
134,157
135,162
136,162
137,163
138,163
139,167
140,167
141,171
142,176
143,176
144,177
145,177
146,180
147,180
148,182
149,186
150,186
151,188
152,188
153,188
154,189
155,193
156,193
157,196
158,196
159,202
160,202
161,202
162,204
163,206
164,206
165,207
166,208
167,209
168,209
169,213
170,214
171,214
172,215
173,217
174,218
175,226
176,227
177,227
178,228
179,230
180,231
181,232
182,233
183,234
184,236
185,236
186,237
187,238
188,239
189,247
190,257
191,301
192,302
193,302
194,303
195,303
196,303
197,303
198,303
199,303
200,304
201,304
202,304
203,307
204,307
205,308
206,309
207,309
208,311
209,312
210,313
211,314
212,316
213,318
214,319
215,321
216,322
217,324
218,325
219,326
220,327
221,328
222,330
223,332
224,334
225,334
226,335
227,335
228,336
229,338
230,338
231,338
232,339
233,340
234,342
235,342
236,343
237,344
238,344
239,348
240,350
241,350
242,351
243,351
244,352
245,352
246,355
247,356
248,357
249,359
250,363
251,368
252,369
253,374
254,376
255,380
256,389
257,390
258,394
259,395
260,396
261,398
262,398
263,402
264,403
265,414
266,421
267,434
268,455
269,479
270,480
271,482
272,482
273,483
274,483
275,483
276,484
277,484
278,487
279,487
280,488
281,488
282,489
283,489
284,490
285,491
286,492
287,492
288,492
289,493
290,499
291,499
292,499
293,499
294,499
295,499
296,500
297,500
298,501
299,503
300,503
301,503
302,504
303,504
304,504
305,505
306,505
307,505
308,507
309,508
310,508
311,508
312,508
313,510
314,510
315,512
316,513
317,513
318,514
319,516
320,517
321,520
322,521
323,521
324,522
325,522
326,522
327,524
328,524
329,526
330,527
331,528
332,528
333,529
334,529
335,530
336,530
337,532
338,532
339,532
340,534
341,535
342,535
343,535
344,537
345,539
346,539
347,540
348,541
349,541
350,541
351,541
352,542
353,543
354,543
355,544
356,546
357,547
358,550
359,550
360,551
361,551
362,552
363,552
364,553
365,554
366,554
367,554
368,555
369,556
370,556
371,557
372,557
373,559
374,559
375,560
376,560
377,561
378,563
379,563
380,564
381,565
382,565
383,565
384,566
385,568
386,569
387,569
388,569
389,571
390,572
391,572
392,572
393,574
394,574
395,574
396,575
397,575
398,576
399,576
400,576
401,576
402,577
403,578
404,579
405,579
406,580
407,581
408,581
409,583
410,584
411,585
412,585
413,585
414,586
415,586
416,586
417,586
418,587
419,587
420,587
421,587
422,588
423,588
424,588
425,589
426,589
427,590
428,590
429,590
430,592
431,593
432,594
433,595
434,595
435,595
436,595
437,598
438,605
439,606
440,606
441,606
442,614
443,614
444,616
445,622
446,624
447,625
448,627
449,631
450,632
451,635
452,635
453,636
454,639
455,639
456,639
457,642
458,643
459,646
460,649
461,650
462,654
463,655
464,657
465,661
466,661
467,662
468,664
469,668
470,669
471,671
472,672
473,673
474,676
475,679
476,680
477,680
478,680
479,681
480,682
481,683
482,686
483,690
484,693
485,693
486,694
487,694
488,695
489,696
490,697
491,697
492,700
493,701
494,702
495,702
496,706
497,707
498,707
499,712
500,712
501,713
502,713
503,714
504,715
505,716
506,720
507,720
508,720
509,720
510,722
511,722
512,723
513,723
514,724
515,724
516,724
517,725
518,726
519,728
520,730
521,731
522,731
523,732
524,733
525,734
526,735
527,736
528,737
529,738
530,738
531,741
532,741
533,741
534,741
535,741
536,742
537,742
538,742
539,743
540,743
541,743
542,747
543,750
544,751
545,752
546,753
547,754
548,756
549,756
550,757
551,758
552,759
553,761
554,761
555,763
556,763
557,764
558,764
559,764
560,765
561,766
562,767
563,767
564,768
565,769
566,770
567,771
568,771
569,771
570,772
571,773
572,773
573,776
574,779
575,781
576,782
577,788
578,795
579,796
580,798
581,799
582,803
583,807
584,808
585,809
586,815
587,820
588,824
589,829
590,837
