Request Index,Request Time (Seconds),vendor1 API Available,vendor2 API Available,vendor3 API Available,vendor1 Is Down,vendor2 Is Down,vendor3 Is Down,vendor1 CTM Success Percent,vendor2 CTM Success Percent,vendor3 CTM Success Percent,vendor1 FTM Failure Percent,vendor2 FTM Failure Percent,vendor3 FTM Failure Percent,vendor1 Traffic Ratio,vendor2 Traffic Ratio,vendor3 Traffic Ratio,Vendors tried
0,2,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
1,7,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
2,9,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
3,9,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
4,10,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
5,11,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
6,13,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
7,14,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
8,14,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
9,14,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
10,17,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
11,24,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
12,30,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
13,31,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
14,32,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
15,36,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
16,37,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
17,38,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
18,38,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
19,40,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
20,40,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
21,41,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
22,42,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
23,43,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
24,44,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
25,46,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
26,53,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
27,53,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
28,53,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
29,56,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
30,62,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
31,62,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
32,63,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
33,64,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor2
34,65,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
35,65,True,True,True,False,False,False,100,100,100,0,0,0,0.8,0.2,0.0,vendor1
